TEMP(K),Etot
298.93,-200244.1727
300.32,-199861.7047
300.34,-200245.5156
302.28,-199650.7389
301.23,-200135.6354
300.4,-200183.1929
299.17,-200485.4178
300.86,-199853.7011
299.17,-200457.9481
299.87,-200156.3166
299.37,-200072.0502
299.64,-200124.3802
301.24,-200205.7669
298.74,-200359.8715
301.27,-200217.1369
300.55,-199854.9716
301.12,-200364.4927
301.64,-200196.346
299.82,-200218.3169
301.82,-200311.4229
301.86,-200412.7063
300.83,-200265.1717
297.94,-200481.7116
301.35,-200014.5967
299.01,-200511.4631
299.74,-200340.1349
302.66,-200219.2247
298.82,-200470.9043
299.91,-200321.2361
300.13,-200531.5164
300.81,-200400.6082
299.74,-200298.4081
300.4,-200091.6882
298.13,-200678.9356
302.11,-200027.379
300.69,-200688.5026
298.34,-200616.1257
300.55,-200551.347
298.58,-200547.1877
300.52,-200732.2867
300.47,-200560.1886
300.19,-200401.3992
301.02,-199675.4383
299.97,-200292.8383
299.89,-200121.993
298.14,-200586.1852
301.29,-200171.4707
301.13,-200176.7644
301.76,-200048.1556
298.83,-200657.2955
300.33,-200666.4279
300.62,-200430.4232
300.29,-200353.6548
300.04,-200930.655
299.88,-200458.288
299.29,-200543.1724
301.43,-200516.6179
299.01,-200739.55
301.39,-200561.6551
297.71,-200784.5026
301.33,-200244.2399
300.63,-200396.6219
300.93,-200350.9526
298.95,-200542.3703
299.45,-200566.6615
298.9,-200588.8905
299.34,-200704.0061
298.92,-200514.5985
300.89,-200456.0545
299.72,-200434.2525
298.88,-200628.7299
300.29,-200472.2914
299.63,-200451.7663
301.65,-200455.0473
300.1,-200462.8685
300.25,-200065.2258
300.7,-200620.7643
299.23,-200416.9949
298.82,-200835.8832
298.5,-200830.4476
300.6,-200309.5813
300.25,-200083.8498
301.36,-200463.8511
301.73,-200364.2832
297.92,-200596.4222
300.33,-200423.5768
301.21,-200617.0427
299.21,-200607.6194
299.89,-200136.9437
301.74,-200081.0646
301.91,-200252.8868
302.88,-199978.0437
300.37,-200394.0075
299.79,-200558.0882
298.94,-200640.3319
298.94,-200976.633
299.65,-200527.3187
299.11,-200579.6237
299.12,-200243.5719
301.13,-200086.8021
299.16,-200387.5452
302.01,-199874.1723
297.84,-200316.0739
300.12,-200877.985
299.7,-200439.194
299.94,-200697.787
301.27,-200449.2991
301.07,-200151.5721
300.01,-200553.4072
299.87,-201063.0898
301.11,-200947.0201
299.49,-200896.0891
300.74,-200505.6336
301.45,-200510.42
301.45,-200005.9015
298.84,-200338.5781
301.95,-200176.1163
300.92,-200308.1386
301.97,-200140.6915
300.16,-200349.4562
301.28,-200493.368
301.23,-200064.8583
301.21,-200301.3556
300.56,-200140.2485
298.77,-200689.7497
298.52,-200503.0372
298.64,-200416.1357
298.59,-200871.6791
300.07,-200613.4471
299.45,-200920.9797
299.9,-200229.895
299.91,-200710.9277
302.13,-200167.7189
299.79,-200602.1327
299.62,-200609.2077
300.19,-200491.8965
299.46,-200848.7182
299.71,-200798.44
298.73,-200862.7322
301.54,-200925.4253
299.32,-200523.2628
300.68,-200779.5884
298.83,-200291.6172
300.06,-200500.8819
300.4,-200796.9323
298.76,-200668.0879
301.64,-200613.0651
301.62,-200381.5235
297.83,-201008.6802
300.94,-200698.517
298.39,-200794.1792
300.1,-200426.5776
299.8,-199984.7887
299.8,-200137.4496
300.3,-200587.7848
298.62,-200723.3671
298.84,-200799.0377
297.87,-200878.2098
301.52,-200313.687
299.54,-200511.2778
300.04,-200328.265
299.53,-200294.7565
299.51,-200148.056
299.6,-200526.7341
299.73,-200382.5566
302.92,-199999.4386
300.97,-200142.8907
301.9,-199915.7101
301.19,-200233.0792
301.43,-199989.3379
299.88,-200379.0427
301.24,-200425.6089
300.3,-200015.8625
302.72,-200078.2173
300.55,-200599.4025
301.11,-200647.4687
299.39,-200504.7535
299.12,-201057.9345
299.83,-200894.766
298.55,-200615.2467
299.26,-200554.2314
299.71,-200411.5599
300.77,-200269.7393
300.4,-200729.2424
298.94,-200496.9779
299.58,-200800.2063
302.02,-200540.6149
298.7,-200778.8699
300.38,-200291.6291
300.9,-200120.1295
300.75,-200413.0128
302.27,-200217.9929
298.09,-200538.3266
298.63,-200492.3668
298.49,-200742.937
300.26,-200328.2734
302.25,-200033.4901
298.5,-201004.6715
298.14,-200919.6176
300.44,-200717.4431
300.02,-200443.204
1.16,278.8862
