NSTEP,TIME_PS,TEMP_K,PRESS,Etot,EKtot,EPtot,VOLUME,Density
500,301.0,299.03,-543.1,-200847.4291,38368.6296,-239216.0588,723476.0458,0.8907
1000,302.0,299.15,-559.2,-201081.8631,38383.836,-239465.6991,719818.0027,0.8952
1500,303.0,299.46,-538.5,-201073.2735,38423.698,-239496.9716,716359.7122,0.8995
2000,304.0,300.09,-428.0,-201251.858,38504.7884,-239756.6464,713187.2079,0.9035
2500,305.0,298.91,-333.1,-201417.1978,38353.2606,-239770.4585,710847.1749,0.9065
3000,306.0,300.39,-446.8,-201341.9291,38543.623,-239885.5521,708290.8903,0.9098
3500,307.0,298.96,-274.5,-201422.0809,38359.3778,-239781.4586,705850.1283,0.9129
4000,308.0,299.45,-415.3,-201086.8005,38422.2582,-239509.0587,703545.0507,0.9159
4500,309.0,301.77,-225.1,-201003.7367,38720.2537,-239723.9905,701709.2923,0.9183
5000,310.0,300.31,-314.0,-201663.6029,38532.7361,-240196.339,700083.0156,0.9204
5500,311.0,300.49,-165.8,-201482.3234,38555.7986,-240038.122,698164.3808,0.923
6000,312.0,298.8,-230.5,-201955.5988,38338.7378,-240294.3367,696377.616,0.9253
6500,313.0,298.57,-161.8,-201845.365,38309.5473,-240154.9122,695185.6669,0.9269
7000,314.0,299.7,-281.5,-201883.7583,38453.9472,-240337.7054,693859.6683,0.9287
7500,315.0,300.43,-211.4,-201546.0553,38548.4435,-240094.4989,692274.7499,0.9308
8000,316.0,299.21,-226.2,-201573.344,38391.8646,-239965.2086,690451.7149,0.9333
8500,317.0,299.48,-219.9,-201829.8985,38426.3042,-240256.2028,688557.4275,0.9359
9000,318.0,300.28,-158.2,-201658.2599,38528.5867,-240186.8467,686963.9789,0.938
9500,319.0,299.79,-312.0,-202099.4592,38465.695,-240565.1542,685468.2687,0.9401
10000,320.0,297.19,-208.7,-202246.768,38132.2325,-240379.0005,683783.731,0.9424
10500,321.0,300.82,-249.9,-201270.5497,38598.8059,-239869.3556,682269.7476,0.9445
11000,322.0,300.37,-337.8,-201841.582,38540.009,-240381.591,680859.5921,0.9464
11500,323.0,300.32,-200.3,-201920.3964,38533.4897,-240453.886,679554.8856,0.9482
12000,324.0,299.78,-327.6,-201666.8075,38464.54,-240131.3475,678276.2638,0.95
12500,325.0,300.16,-162.3,-201928.0386,38513.9265,-240441.9651,677023.3597,0.9518
13000,326.0,299.4,-219.3,-202041.2034,38415.614,-240456.8175,675628.2246,0.9538
13500,327.0,298.82,-341.3,-202108.8713,38341.7389,-240450.6102,674298.9208,0.9556
14000,328.0,300.64,-186.6,-201741.2099,38575.2579,-240316.4677,672895.9736,0.9576
14500,329.0,300.64,-127.7,-202069.3584,38574.7157,-240644.0741,671226.992,0.96
15000,330.0,299.88,-245.4,-202207.2891,38477.4815,-240684.7706,669556.1316,0.9624
15500,331.0,300.24,-40.4,-202001.6978,38523.8526,-240525.5504,668385.3288,0.9641
