TEMP(K),Etot
0.0,-358614.0914
253.29,-214939.6389
289.75,-202714.785
295.67,-199571.4021
298.58,-198349.1549
298.14,-198446.1052
299.14,-198364.7406
300.24,-198356.4019
299.71,-197847.0967
300.74,-197895.8486
300.31,-197843.5005
299.95,-198229.8992
301.42,-198330.7011
300.15,-198251.9221
301.32,-198147.1927
301.65,-198041.5286
300.34,-198255.4765
297.91,-198167.9521
300.91,-198234.2304
299.24,-198622.632
300.44,-198389.4721
299.23,-198784.0574
300.49,-198535.0406
298.28,-198777.6594
298.81,-199103.3445
299.51,-198848.5552
297.17,-198643.6004
299.05,-198757.6064
299.58,-198923.124
298.8,-198959.1973
301.31,-198549.1217
298.55,-199083.617
300.21,-198572.9091
301.45,-198934.0789
300.13,-198837.8304
299.88,-199046.2474
300.02,-199150.2671
299.89,-199346.8687
299.85,-199199.0253
298.37,-199756.3
301.21,-199240.5011
299.93,-199632.4359
302.41,-198943.9527
302.42,-198985.9861
300.05,-199551.2554
299.92,-199482.1268
301.91,-199476.3986
301.21,-199268.056
301.89,-199370.9307
300.14,-199425.7613
303.12,-199300.1941
300.82,-200001.8962
302.65,-199601.6442
299.39,-199862.5097
299.59,-199775.5261
300.65,-199516.2647
299.34,-200040.5513
297.79,-199931.8574
299.22,-199488.7881
300.41,-199724.9906
298.93,-200009.6521
301.16,-199898.7353
295.59,-200258.9632
298.56,-200240.0498
300.8,-199699.7129
298.74,-199701.3007
300.21,-200132.75
300.31,-200348.3083
299.85,-200065.977
298.49,-200233.5026
299.39,-200437.094
299.41,-199984.0082
299.55,-199928.8576
300.2,-199944.4377
299.43,-199795.5983
298.62,-199873.4611
300.17,-199991.0849
299.58,-199938.2028
300.4,-200140.3066
299.49,-200458.3311
299.91,-199940.8874
300.57,-200091.4615
299.55,-200363.5342
300.04,-200305.161
300.31,-199731.3285
300.38,-199575.3342
300.56,-199689.0557
299.82,-199747.5513
298.66,-200117.8609
300.09,-199910.8594
298.97,-200321.3235
299.57,-200440.4188
301.34,-199966.7679
300.48,-200248.9663
301.38,-199977.3948
301.63,-199733.0204
298.96,-200292.1354
301.81,-199897.272
301.81,-200292.4441
299.9,-200117.7971
299.04,-200434.8925
298.53,-199881.8443
14.47,4433.7306
