Step,Energy,RMS,GMAX,Atom,Atom_Number
1,108130.0,9840.8,3356700.0,O,54452
100,-272060.0,1.7647,39.257,H2,71942
200,-282380.0,1.5098,74.359,C4,344
300,-288080.0,1.3571,68.245,C3,361
400,-291610.0,1.2387,61.228,C4,326
500,-294100.0,0.94722,45.362,C3,325
600,-296050.0,0.80562,42.748,C3,577
700,-297670.0,0.71492,45.116,C3,577
800,-299060.0,0.35125,19.939,C3,577
900,-300280.0,0.31676,19.93,C3,577
1000,-301340.0,0.22641,7.9007,C3,505
1100,-302280.0,0.20804,6.161,C4,506
1200,-303090.0,0.78723,79.754,C3,505
1300,-303840.0,0.67616,70.855,C3,505
1400,-304510.0,0.58374,61.328,C3,505
1500,-305110.0,0.48883,50.396,C3,505
1600,-305670.0,0.27527,25.399,C3,505
1700,-306170.0,0.22701,19.278,C3,505
1800,-306620.0,0.30962,30.869,C3,505
1900,-307050.0,0.13989,4.2792,C3,505
2000,-307450.0,0.16294,11.049,C4,506
2100,-307810.0,0.46991,50.902,C3,505
2200,-308150.0,0.41214,43.75,C3,505
2300,-308470.0,0.38242,40.999,C3,505
2400,-308780.0,0.18143,15.752,C3,505
2500,-309060.0,0.261,26.585,C3,505
2600,-309330.0,0.11162,3.5632,C3,505
2700,-309580.0,0.13282,9.1617,C4,506
2800,-309820.0,0.38994,42.487,C3,505
2900,-310060.0,0.33951,36.912,C3,505
3000,-310280.0,0.31879,33.006,C3,505
3100,-310490.0,0.24728,26.116,C3,505
3200,-310680.0,0.11892,8.6301,C4,506
3300,-310860.0,0.093066,2.836,C3,505
3400,-311040.0,0.40749,37.322,C3,505
3500,-311220.0,0.32601,35.957,C3,505
3600,-311400.0,0.27938,29.171,C3,505
3700,-311560.0,0.23901,25.778,C4,506
3800,-311720.0,0.13497,12.208,C3,505
3900,-311870.0,0.16208,16.199,C4,506
4000,-312010.0,0.083951,3.2259,C3,505
4100,-312140.0,0.31295,35.235,C3,505
4200,-312270.0,0.26754,29.666,C3,505
4300,-312400.0,0.22746,25.079,C3,505
4400,-312520.0,0.19438,21.01,C3,505
4500,-312640.0,0.10358,8.7504,C3,505
4600,-312750.0,0.073654,2.7548,H1,4373
4700,-312860.0,0.095257,7.7089,C3,505
4800,-312960.0,0.25717,29.106,C3,505
4900,-313060.0,0.24881,28.211,C3,505
5000,-313150.0,0.2047,22.837,C3,505
5100,-313890.0,0.1697,8.5158,C4,524
5200,-314150.0,0.16029,10.768,C48,171
5300,-314510.0,0.14558,10.869,O,44088
5400,-314700.0,0.13325,7.2056,C53,187
5500,-314960.0,0.14138,9.8013,C4,524
5600,-315130.0,0.15976,12.155,C4,524
5700,-315360.0,0.2382,20.436,Na+,1406
5800,-315560.0,0.25553,33.66,H2,4790
5900,-315730.0,0.20295,16.792,C5,525
6000,-315900.0,0.23875,18.441,O,41472
6100,-316040.0,0.18894,19.429,C48,171
6200,-316170.0,0.17331,13.993,O33,173
6300,-316320.0,0.2237,32.662,H2,79838
6400,-316410.0,0.14521,17.32,O,79836
6500,-316490.0,0.10805,8.3587,Na+,1406
6600,-316580.0,0.11913,9.3044,Na+,1406
6700,-316710.0,0.16531,12.881,H2,31054
6800,-316820.0,0.15759,14.912,Na+,1406
6900,-316930.0,0.15253,9.8937,H1,67953
7000,-317030.0,0.14963,8.2687,N9,210
7100,-317090.0,0.10593,8.4049,N9,210
7200,-317140.0,0.1119,7.4644,C59,208
7300,-317200.0,0.11562,8.275,N9,210
7400,-317300.0,0.11007,7.6471,O,84876
7500,-317360.0,0.067503,4.5401,C58,204
7600,-317410.0,0.062754,4.2963,O,15776
7700,-317480.0,0.07193,5.8805,O,3284
7800,-317520.0,0.069672,5.0281,N9,210
7900,-317570.0,0.05575,3.9909,N9,210
8000,-317660.0,0.080297,4.5095,O41,215
8100,-317720.0,0.056618,4.6879,O29,152
8200,-317780.0,0.046833,2.1412,O36,191
8300,-317810.0,0.050588,3.4329,H2,6498
8400,-317840.0,0.047262,2.5895,O,42164
8500,-317880.0,0.041702,1.8929,O33,173
8600,-317950.0,0.15721,15.348,H1,42553
8700,-317980.0,0.10961,9.3713,C55,195
8800,-318020.0,0.038503,2.6884,N9,210
8900,-318080.0,0.070868,3.7964,O,17368
9000,-318120.0,0.13749,10.539,O,43248
9100,-318150.0,0.060293,5.5261,N11,254
9200,-318180.0,0.12865,9.716,O40,212
9300,-318220.0,0.15324,16.42,H2,7682
9400,-318240.0,0.029973,1.5979,H2,7682
9500,-318300.0,0.060241,4.1533,H111,235
9600,-318320.0,0.22881,18.774,O38,200
9700,-318360.0,0.046779,2.8208,C71,252
9800,-318380.0,0.05678,4.414,H1,69281
9900,-318410.0,0.034089,3.5727,O,69280
10000,-318450.0,0.032748,1.3426,C59,208
10100,-318490.0,0.054795,5.9705,O,31380
10200,-318520.0,0.061444,3.3467,C61,216
10300,-318550.0,0.039861,2.6155,C57,202
10400,-318580.0,0.095293,16.51,H1,5021
10500,-318610.0,0.11387,9.0816,H1,5021
10600,-318630.0,0.095407,6.616,H1,5021
10700,-318660.0,0.063529,5.6203,N11,254
10800,-318680.0,0.055612,3.7655,O,5020
10900,-318710.0,0.048842,3.165,O,31860
11000,-318730.0,0.081666,10.442,O,6048
11100,-318760.0,0.037141,2.9963,C68,239
11200,-318780.0,0.041394,4.7058,H1,44273
11300,-318800.0,0.031042,2.1309,O,44272
11400,-318820.0,0.06791,5.5305,O46,242
11500,-318830.0,0.034741,2.1987,C70,248
11600,-318850.0,0.029217,1.2178,O,19144
11700,-318860.0,0.05087,4.212,H1,3681
11800,-318870.0,0.039128,2.3434,O,31860
11900,-318880.0,0.034075,2.0104,C56,197
12000,-318900.0,0.029377,1.978,H1,73357
12100,-318910.0,0.044773,3.6532,H2,73726
12200,-318920.0,0.038432,3.0001,H1,10545
12300,-318940.0,0.019108,1.0256,N3,84
12400,-318950.0,0.032646,2.3754,N7,168
12500,-318960.0,0.053901,6.4408,H2,82666
12600,-318970.0,0.026844,3.5527,O,82664
12700,-318990.0,0.046338,3.8937,O,75700
12800,-319000.0,0.035599,3.0279,C4,524
12900,-319020.0,0.042544,3.2231,C71,252
13000,-319030.0,0.018803,1.1426,O,43836
13100,-319050.0,0.054616,3.5073,O,75700
13200,-319070.0,0.059685,4.3615,N8,189
13300,-319090.0,0.025954,3.287,O,75700
13400,-319110.0,0.057174,5.6573,H1,53825
