frame,CHI_to_WAT,WAT_to_CHI
0,10,9
1,18,8
2,18,12
3,12,11
4,14,17
5,14,15
6,13,19
7,10,5
8,11,16
9,14,12
10,9,11
11,11,14
12,10,16
13,17,12
14,10,19
15,13,16
16,12,20
17,11,10
18,10,9
19,10,11
20,8,15
21,12,18
22,9,13
23,10,12
24,13,17
25,14,17
26,10,15
27,14,18
28,8,10
29,9,17
30,12,9
31,11,18
32,9,12
33,9,9
34,15,12
35,12,13
36,8,11
37,8,14
38,15,15
39,8,15
40,13,16
41,14,11
42,6,7
43,10,10
44,16,9
45,11,12
46,11,8
47,14,13
48,12,10
49,14,9
50,14,10
51,9,9
52,8,14
53,11,12
54,11,13
55,13,14
56,10,13
57,15,14
58,10,16
59,8,18
60,11,15
61,11,15
62,12,13
63,12,15
64,14,17
65,12,15
66,13,16
67,14,20
68,11,11
69,10,9
70,11,12
71,8,13
72,7,12
73,13,11
74,12,17
75,11,10
76,12,18
77,13,13
78,15,17
79,9,13
80,10,7
81,6,12
82,15,9
83,16,11
84,11,15
85,13,10
86,12,8
87,10,20
88,14,12
89,8,15
90,8,11
91,7,12
92,14,8
93,14,15
94,10,8
95,12,10
96,9,16
97,10,14
98,11,16
99,11,15
100,11,13
101,9,11
102,9,9
103,13,15
104,8,12
105,12,12
106,13,9
107,12,15
108,10,8
109,9,12
110,11,13
111,10,10
112,5,15
113,11,16
114,16,10
115,10,13
116,16,20
117,8,15
118,11,21
119,10,12
120,11,9
121,12,12
122,5,16
123,13,14
124,10,17
125,15,16
126,10,19
127,12,15
128,15,14
129,11,14
130,13,16
131,11,8
132,15,22
133,11,20
134,9,14
135,13,10
136,17,16
137,9,20
138,12,14
139,12,20
140,16,14
141,10,19
142,13,18
143,12,10
144,9,12
145,16,14
146,10,15
147,14,11
148,17,22
149,9,13
150,10,15
151,11,20
152,12,17
153,14,15
154,13,11
155,10,9
156,12,16
157,14,20
158,11,17
159,10,9
160,13,14
161,20,14
162,9,12
163,14,9
164,15,19
165,12,9
166,9,14
167,12,7
168,13,20
169,11,9
170,8,12
171,11,13
172,10,7
173,14,16
174,8,10
175,9,9
176,9,9
177,15,10
178,9,13
179,12,7
180,10,11
181,11,10
182,10,8
183,12,11
184,12,13
185,13,10
186,13,17
187,12,15
188,8,16
189,10,11
190,8,12
191,10,14
192,12,14
193,15,12
194,11,14
195,15,11
196,17,14
197,12,11
198,11,10
199,12,12
200,12,16
201,10,14
202,17,15
203,15,15
204,11,11
205,14,22
206,11,17
207,9,15
208,16,23
209,14,8
210,12,18
211,14,10
212,14,11
213,13,12
214,13,10
215,8,8
216,12,9
217,12,12
218,12,10
219,9,8
220,16,16
221,10,11
222,13,13
223,12,10
224,10,14
225,10,9
226,14,8
227,16,14
228,11,7
229,9,17
230,15,9
231,13,5
232,19,9
233,9,15
234,8,12
235,15,9
236,15,11
237,13,15
238,12,10
239,15,12
240,7,24
241,15,13
242,8,18
243,7,12
244,11,15
245,12,16
246,13,8
247,10,18
248,8,10
249,9,10
250,13,6
251,11,16
252,13,13
253,13,16
254,11,10
255,12,14
256,10,11
257,13,8
258,15,11
259,8,9
260,12,6
261,11,3
262,10,14
263,14,8
264,14,9
265,15,10
266,17,10
267,11,6
268,12,7
269,10,14
270,13,11
271,10,17
272,12,8
273,15,9
274,9,14
275,12,16
276,15,10
277,13,8
278,10,12
279,15,11
280,11,8
281,12,11
282,15,13
283,14,11
284,9,10
285,13,10
286,11,12
287,11,10
288,11,13
289,15,13
290,12,13
291,10,11
292,13,11
293,10,16
294,9,8
295,12,13
296,9,11
297,11,6
298,10,12
299,14,12
300,4,9
301,12,10
302,12,12
303,12,13
304,7,13
305,14,18
306,17,5
307,9,9
308,10,9
309,7,4
310,13,9
311,8,9
312,11,10
313,9,14
314,9,15
315,7,10
316,8,15
317,8,12
318,13,10
319,9,11
320,11,10
321,13,8
322,11,14
323,17,15
324,14,13
325,8,13
326,15,12
327,8,10
328,12,9
329,13,9
330,10,13
331,14,8
332,11,12
333,11,9
334,12,11
335,13,10
336,15,9
337,19,8
338,9,6
339,10,11
340,12,8
341,6,5
342,9,10
343,7,12
344,13,10
345,12,7
346,13,8
347,9,7
348,13,7
349,12,5
350,16,7
351,10,7
352,12,12
353,9,8
354,10,3
355,15,7
356,12,8
357,10,7
358,10,11
359,11,8
360,16,9
361,8,7
362,8,6
363,13,8
364,13,7
365,10,8
366,13,10
367,13,14
368,14,11
369,7,9
370,9,9
371,15,4
372,18,4
373,14,5
374,12,10
375,11,12
376,10,6
377,13,17
378,14,6
379,16,4
380,14,9
381,10,6
382,10,7
383,13,11
384,16,8
385,5,6
386,14,8
387,9,6
388,8,11
389,9,9
390,10,7
391,8,4
392,10,8
393,13,9
394,12,7
395,12,5
396,13,7
397,13,7
398,9,4
399,18,4
400,3,4
401,8,9
402,12,6
403,15,7
404,13,9
405,16,9
406,8,4
407,14,7
408,11,10
409,9,6
410,10,8
411,12,4
412,8,11
413,14,13
414,13,5
415,12,7
416,11,8
417,13,12
418,9,11
419,12,8
420,12,8
421,9,8
422,7,9
423,11,12
424,11,11
425,14,8
426,15,11
427,10,7
428,11,5
429,11,5
430,13,11
431,10,11
432,10,6
433,13,4
434,12,5
435,8,8
436,12,8
437,14,10
438,12,10
439,12,10
440,12,8
441,5,10
442,8,11
443,9,11
444,7,8
445,11,13
446,10,12
447,9,8
448,7,11
449,15,8
450,11,6
451,10,10
452,12,12
453,10,14
454,13,12
455,13,14
456,8,9
457,10,11
458,7,14
459,8,12
460,13,15
461,11,11
462,16,15
463,11,8
464,16,10
465,14,16
466,10,8
467,7,12
468,12,15
469,11,13
470,7,14
471,10,13
472,15,19
473,11,16
474,10,17
475,12,9
476,12,11
477,11,13
478,10,14
479,11,13
480,15,13
481,13,16
482,10,14
483,11,15
484,13,11
485,19,14
486,9,14
487,8,18
488,9,9
489,11,10
490,10,4
491,12,4
492,10,14
493,11,16
494,9,10
495,14,16
496,13,11
497,9,12
498,11,8
499,12,8
500,12,11
501,8,10
502,9,9
503,16,10
504,13,17
505,16,10
506,14,7
507,14,11
508,16,11
509,10,15
510,10,15
511,6,9
512,8,12
513,16,18
514,7,14
515,12,18
516,12,18
517,10,18
518,15,23
519,12,15
520,13,17
521,20,16
522,13,19
523,13,20
524,15,23
525,15,12
526,10,12
527,12,16
528,14,21
529,8,19
530,13,12
531,11,14
532,10,15
533,18,11
534,16,17
535,14,12
536,13,19
537,10,17
