r,block_22,block_23,block_24,block_25,mean_last4
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000178e+00,3.020879365944365708e-02,0.000000000000000000e+00,3.020745327492091806e-02,0.000000000000000000e+00,1.510406173359114465e-02
1.899999999999999911e+00,4.837865848043745864e-02,1.209787599100182881e-01,2.418825594338687157e-01,1.209401838219687081e-01,1.330450404115733065e-01
2.100000000000000089e+00,8.119868192993046074e-01,6.735337122724512904e-01,9.307728578577585399e-01,6.337119480991606491e-01,7.625013343821687162e-01
2.300000000000000266e+00,1.453065802823011010e+00,2.196693926164626554e+00,2.162990615229662517e+00,2.212504702927438505e+00,2.006313761786184813e+00
2.500000000000000000e+00,3.228733901422035757e+00,3.746885021213143929e+00,4.178998274705111982e+00,5.143335885798427043e+00,4.074488270784679678e+00
2.700000000000000178e+00,4.565945947681572470e+00,5.789862091737477456e+00,6.674853144216475798e+00,7.142147981787593913e+00,6.043202291355779465e+00
2.900000000000000355e+00,5.744984862007768811e+00,7.294846669667739647e+00,7.895108073058578313e+00,9.141621248134109479e+00,7.519140213217049507e+00
3.100000000000000089e+00,6.418928718743523554e+00,7.875734049443136264e+00,9.418859896867562753e+00,9.727884910639723159e+00,8.360351893923485989e+00
3.300000000000000266e+00,7.606404157216780426e+00,9.903792170513792570e+00,1.071909815647352815e+01,1.066283859611662344e+01,9.723033270080181367e+00
3.500000000000000000e+00,8.752299446104256475e+00,1.150159156130823312e+01,1.222557100779928518e+01,1.247510498101260268e+01,1.123864174905609659e+01
3.700000000000000178e+00,9.421260894615889114e+00,1.191378095109200252e+01,1.360150145624327500e+01,1.511406081474279084e+01,1.251265102917349026e+01
3.900000000000000355e+00,9.755401721753358402e+00,1.403932531721427601e+01,1.542525995912911974e+01,1.695901481789737275e+01,1.404475045399853173e+01
4.099999999999999645e+00,1.096883453834215238e+01,1.418007299166088764e+01,1.600547062130489451e+01,1.803263217618538050e+01,1.479675258187332965e+01
4.300000000000000711e+00,1.135245158924760567e+01,1.494836933300855186e+01,1.659312613790168811e+01,1.883309840169827254e+01,1.543176136546402866e+01
4.500000000000000000e+00,1.210077963158285641e+01,1.544942568078550238e+01,1.671335236196695817e+01,1.969508106900579136e+01,1.598965968583527797e+01
4.700000000000001066e+00,1.216510126077563037e+01,1.578519469633889472e+01,1.750114472151491896e+01,1.949872528688578299e+01,1.623754149137880631e+01
4.900000000000000355e+00,1.216790416055744473e+01,1.648910269676854057e+01,1.758680948733970340e+01,1.911893069429804015e+01,1.634068675974093310e+01
5.099999999999999645e+00,1.264022016353739453e+01,1.604141151252589736e+01,1.779027007928408466e+01,1.903659242399378115e+01,1.637712354483528898e+01
5.300000000000000711e+00,1.280260718660107777e+01,1.634127346045694296e+01,1.729130825369540858e+01,1.877511689967462516e+01,1.630257645010701495e+01
5.500000000000000000e+00,1.261658484558902771e+01,1.667438144631979569e+01,1.706500112358123644e+01,1.853819535017100861e+01,1.622354069141526622e+01
5.700000000000001066e+00,1.238972083717734662e+01,1.659845464413690763e+01,1.723617203409739673e+01,1.808598167592336381e+01,1.607758229783375370e+01
5.900000000000000355e+00,1.231222961738144761e+01,1.611763275210858026e+01,1.719719223305490985e+01,1.753344558201634484e+01,1.579012504614032153e+01
6.099999999999999645e+00,1.254926973893312869e+01,1.566784606281732550e+01,1.634879105967006652e+01,1.695928034823043618e+01,1.538129680241273789e+01
6.300000000000000711e+00,1.220339878332486627e+01,1.551930324288496088e+01,1.612882168855177056e+01,1.661969187297999184e+01,1.511780389693539739e+01
