# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 0.000000000000000000e+00
1.899999999999999911e+00 1.209401838219687081e-01
2.100000000000000089e+00 6.337119480991606491e-01
2.300000000000000266e+00 2.212504702927438505e+00
2.500000000000000000e+00 5.143335885798427043e+00
2.700000000000000178e+00 7.142147981787593913e+00
2.900000000000000355e+00 9.141621248134109479e+00
3.100000000000000089e+00 9.727884910639723159e+00
3.300000000000000266e+00 1.066283859611662344e+01
3.500000000000000000e+00 1.247510498101260268e+01
3.700000000000000178e+00 1.511406081474279084e+01
3.900000000000000355e+00 1.695901481789737275e+01
4.099999999999999645e+00 1.803263217618538050e+01
4.300000000000000711e+00 1.883309840169827254e+01
4.500000000000000000e+00 1.969508106900579136e+01
4.700000000000001066e+00 1.949872528688578299e+01
4.900000000000000355e+00 1.911893069429804015e+01
5.099999999999999645e+00 1.903659242399378115e+01
5.300000000000000711e+00 1.877511689967462516e+01
5.500000000000000000e+00 1.853819535017100861e+01
5.700000000000001066e+00 1.808598167592336381e+01
5.900000000000000355e+00 1.753344558201634484e+01
6.099999999999999645e+00 1.695928034823043618e+01
6.300000000000000711e+00 1.661969187297999184e+01
6.500000000000000000e+00 1.605333819880483759e+01
6.700000000000001066e+00 1.543442433378639755e+01
6.900000000000000355e+00 1.498223659905801419e+01
7.099999999999999645e+00 1.470141325774077146e+01
7.300000000000000711e+00 1.455636899697914011e+01
7.500000000000000000e+00 1.407164121172215943e+01
7.700000000000001066e+00 1.398548260723494963e+01
7.900000000000000355e+00 1.366304739296339044e+01
8.100000000000001421e+00 1.340962442898553952e+01
8.300000000000000711e+00 1.304267908247581431e+01
8.500000000000000000e+00 1.280871929725096692e+01
8.699999999999999289e+00 1.279238669609761736e+01
8.900000000000000355e+00 1.225482546654017213e+01
9.100000000000001421e+00 1.194055617373799905e+01
9.300000000000000711e+00 1.171343806210007266e+01
9.500000000000000000e+00 1.155566750986508495e+01
9.700000000000001066e+00 1.147233750926379692e+01
9.900000000000000355e+00 1.116331366354019217e+01
1.010000000000000142e+01 1.103659240377818662e+01
1.030000000000000071e+01 1.081893463994703275e+01
1.050000000000000000e+01 1.074286979279449028e+01
1.070000000000000107e+01 1.042213125316140143e+01
1.090000000000000036e+01 1.050441024731144779e+01
1.110000000000000142e+01 1.039103768014221352e+01
1.130000000000000071e+01 1.021401667370765765e+01
1.150000000000000000e+01 1.006869034444635602e+01
1.170000000000000107e+01 9.994922266789185272e+00
1.190000000000000036e+01 1.005986392988955203e+01
1.210000000000000142e+01 9.898398410432969641e+00
1.230000000000000071e+01 9.763981624497519718e+00
1.250000000000000000e+01 9.771748068627207573e+00
1.270000000000000107e+01 9.619212512346155819e+00
1.290000000000000036e+01 9.589534288051378752e+00
1.310000000000000142e+01 9.531197131564329794e+00
1.330000000000000071e+01 9.252634188280978833e+00
1.350000000000000000e+01 9.304693054284342679e+00
1.370000000000000107e+01 9.191003784660692233e+00
1.390000000000000036e+01 9.106194103663474593e+00
1.410000000000000142e+01 8.995208224933884722e+00
1.430000000000000071e+01 8.940249766785322905e+00
1.450000000000000000e+01 8.891946590763907921e+00
1.470000000000000107e+01 8.718777615329191377e+00
1.490000000000000036e+01 8.663047560932961133e+00
1.510000000000000142e+01 8.634023046603623186e+00
1.530000000000000071e+01 8.543809194551547748e+00
1.550000000000000000e+01 8.408418800170059271e+00
1.570000000000000107e+01 8.259027199419595178e+00
1.590000000000000036e+01 8.277617924670680694e+00
1.610000000000000142e+01 8.184846692839050419e+00
1.630000000000000071e+01 8.078318746376922377e+00
1.650000000000000000e+01 7.973235267680793825e+00
1.670000000000000284e+01 7.974253493824803307e+00
1.689999999999999858e+01 7.866500366869688676e+00
1.710000000000000142e+01 7.737068160782437864e+00
1.730000000000000071e+01 7.663171331090929961e+00
1.750000000000000000e+01 7.671660932797145449e+00
1.770000000000000284e+01 7.566503163575675650e+00
1.789999999999999858e+01 7.360996029860812584e+00
1.810000000000000142e+01 7.347016495265595637e+00
1.830000000000000071e+01 7.264032326565053488e+00
1.850000000000000000e+01 7.308794727622282217e+00
1.870000000000000284e+01 7.103557983325207381e+00
1.889999999999999858e+01 7.060935831382423977e+00
1.910000000000000142e+01 7.030989594771524409e+00
1.930000000000000426e+01 6.839333846435926567e+00
1.950000000000000000e+01 6.699990344186110391e+00
1.970000000000000284e+01 6.695934487180430494e+00
1.989999999999999858e+01 6.660451714417886748e+00
2.010000000000000142e+01 6.557770228538591262e+00
2.030000000000000426e+01 6.424100582516427238e+00
2.050000000000000000e+01 6.317457979207108387e+00
2.070000000000000284e+01 6.309175085296675256e+00
2.089999999999999858e+01 6.216215439063709880e+00
2.110000000000000142e+01 6.087153320396924805e+00
2.130000000000000426e+01 5.989174569440633533e+00
2.150000000000000000e+01 5.861439667011904220e+00
2.170000000000000284e+01 5.773381725564620481e+00
2.189999999999999858e+01 5.674427622655776382e+00
2.210000000000000142e+01 5.571114800763500519e+00
2.230000000000000426e+01 5.447731238002611498e+00
2.250000000000000000e+01 5.320238603872003758e+00
2.270000000000000284e+01 5.215030726653943738e+00
2.289999999999999858e+01 5.113503857654021267e+00
2.310000000000000142e+01 4.961628684383724064e+00
2.330000000000000426e+01 4.914970813542048234e+00
2.350000000000000000e+01 4.707434380692875564e+00
2.370000000000000284e+01 4.616649720290610937e+00
2.389999999999999858e+01 4.524559695813120008e+00
2.410000000000000142e+01 4.339023733785906778e+00
2.430000000000000426e+01 4.329762352294088679e+00
2.450000000000000000e+01 4.137636118946521613e+00
2.470000000000000284e+01 4.002998237741126175e+00
2.489999999999999858e+01 3.895534790900639255e+00
2.510000000000000142e+01 3.754628204115706858e+00
2.530000000000000426e+01 3.695911057690815404e+00
2.550000000000000000e+01 3.612491647882921875e+00
2.570000000000000284e+01 3.444538642606063572e+00
2.589999999999999858e+01 3.323796636877394128e+00
2.610000000000000142e+01 3.262532071107564047e+00
2.630000000000000426e+01 3.183154403833927226e+00
2.650000000000000000e+01 3.058996976898799680e+00
2.670000000000000284e+01 2.977052092303443587e+00
2.689999999999999858e+01 2.903115284448251288e+00
2.710000000000000142e+01 2.838288110621495441e+00
2.730000000000000426e+01 2.767302324175366479e+00
2.750000000000000000e+01 2.642138418405670208e+00
2.770000000000000284e+01 2.594668487368776422e+00
2.789999999999999858e+01 2.511006661206601986e+00
2.810000000000000142e+01 2.407760770206768264e+00
2.830000000000000426e+01 2.321795422178490220e+00
2.850000000000000000e+01 2.271461491523360632e+00
2.870000000000000284e+01 2.219753639527859423e+00
2.889999999999999858e+01 2.155860282511957937e+00
2.910000000000000142e+01 2.107544230252011097e+00
2.930000000000000426e+01 2.048736143172461777e+00
2.950000000000000000e+01 1.967622246610932546e+00
2.970000000000000284e+01 1.910397153551540272e+00
2.989999999999999858e+01 1.868306239038540539e+00
3.010000000000000142e+01 1.846840667606340913e+00
3.030000000000000426e+01 1.782653075474680548e+00
3.050000000000000000e+01 1.719984741524176464e+00
3.070000000000000284e+01 1.693845574927662190e+00
3.089999999999999858e+01 1.618533000578554981e+00
3.110000000000000142e+01 1.581336959169787670e+00
