r,block_22,block_23,block_24,block_25,mean_last4
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,0.000000000000000000e+00,1.837852353911768530e-02,0.000000000000000000e+00,0.000000000000000000e+00,4.594630884779421325e-03
1.700000000000000178e+00,2.861885715105188036e-02,4.293968402918281468e-02,2.861758731308297957e-02,5.723465599646502394e-02,3.935269612244567117e-02
1.899999999999999911e+00,1.374972398917695959e-01,4.584458270274377467e-02,2.062367085699301772e-01,1.145749109892335027e-01,1.260383605384192696e-01
2.100000000000000089e+00,5.816285560577817426e-01,3.659602678136693599e-01,4.971765433349953911e-01,3.470823663108890123e-01,4.479619333793338765e-01
2.300000000000000266e+00,8.681894360168588287e-01,7.510659090645972480e-01,8.055814786331447763e-01,5.709409229471041902e-01,7.489444366654263163e-01
2.500000000000000000e+00,1.085807983253343378e+00,8.543074449388177172e-01,1.224790024183068482e+00,8.474146081864686320e-01,1.003080015140424663e+00
2.700000000000000178e+00,1.623531547082797122e+00,1.254880211448822447e+00,1.538313032102805122e+00,1.033101235797251771e+00,1.362456506607919060e+00
2.900000000000000355e+00,1.924107902294216466e+00,1.432388920967147206e+00,1.943705623249532666e+00,1.574633325037454457e+00,1.718708942887087643e+00
3.100000000000000089e+00,2.515125193507973478e+00,1.947154862837892297e+00,2.437496053375501237e+00,1.546030307244316226e+00,2.111451604241421087e+00
3.300000000000000266e+00,2.740281844113906740e+00,2.174559502422801494e+00,2.861776245131622431e+00,2.056051686051714622e+00,2.458167319430011322e+00
3.500000000000000000e+00,2.946340927938326359e+00,2.484100436791627065e+00,3.145552400489781242e+00,2.202880323450451705e+00,2.694718522167546482e+00
3.700000000000000178e+00,3.610072371043443695e+00,2.870073986102465557e+00,3.691543369869775937e+00,2.482170060458181116e+00,3.163464946868466576e+00
3.900000000000000355e+00,3.888916420044322919e+00,3.037916786653600543e+00,4.008481256065367759e+00,2.909047952556529371e+00,3.461090603829954926e+00
4.099999999999999645e+00,4.434867523870988926e+00,3.394153305976846280e+00,4.478992829889787863e+00,3.043422195504334127e+00,3.837858963810488966e+00
4.300000000000000711e+00,4.674509624986655787e+00,3.741944245799055047e+00,4.835485048806139829e+00,3.317649956836183023e+00,4.142397219107008866e+00
4.500000000000000000e+00,5.006255797351860437e+00,3.936137702675090555e+00,5.345356487407998181e+00,3.777487295766690512e+00,4.516309320800409921e+00
4.700000000000001066e+00,5.531919731215865887e+00,4.155664785740391665e+00,5.336791442631940718e+00,3.993188030850523873e+00,4.754390997609680980e+00
4.900000000000000355e+00,5.720640994419862402e+00,4.349393417987615251e+00,5.996234648099375342e+00,4.248012735346752500e+00,5.078570448963400707e+00
5.099999999999999645e+00,5.995430540927394247e+00,4.772782928434876837e+00,6.375532005750295106e+00,4.483202925348935608e+00,5.406737100115375227e+00
5.300000000000000711e+00,6.283978427997735317e+00,4.907344908225504732e+00,6.557800946577726720e+00,4.555051471957863640e+00,5.576043938689707602e+00
5.500000000000000000e+00,6.548313624616337592e+00,4.925201313460983776e+00,6.860029186537068391e+00,4.900367428136294556e+00,5.808477888187671745e+00
5.700000000000001066e+00,6.907261580147697089e+00,5.137532620954031515e+00,6.896762213229540528e+00,5.174117413454734304e+00,6.028918456946501081e+00
5.900000000000000355e+00,7.003525392277346384e+00,5.425634374057382026e+00,7.211325111880175776e+00,5.384660987206321359e+00,6.256286466355305720e+00
6.099999999999999645e+00,7.091436979458000778e+00,5.526424003689952791e+00,7.492737508085659748e+00,5.709336370702901675e+00,6.454983715484129192e+00
6.300000000000000711e+00,7.230390352087140649e+00,5.650633560446275183e+00,7.932007907116406464e+00,6.082715442424440511e+00,6.723936815518565702e+00
