# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 5.723465599646502394e-02
1.899999999999999911e+00 1.145749109892335027e-01
2.100000000000000089e+00 3.470823663108890123e-01
2.300000000000000266e+00 5.709409229471041902e-01
2.500000000000000000e+00 8.474146081864686320e-01
2.700000000000000178e+00 1.033101235797251771e+00
2.900000000000000355e+00 1.574633325037454457e+00
3.100000000000000089e+00 1.546030307244316226e+00
3.300000000000000266e+00 2.056051686051714622e+00
3.500000000000000000e+00 2.202880323450451705e+00
3.700000000000000178e+00 2.482170060458181116e+00
3.900000000000000355e+00 2.909047952556529371e+00
4.099999999999999645e+00 3.043422195504334127e+00
4.300000000000000711e+00 3.317649956836183023e+00
4.500000000000000000e+00 3.777487295766690512e+00
4.700000000000001066e+00 3.993188030850523873e+00
4.900000000000000355e+00 4.248012735346752500e+00
5.099999999999999645e+00 4.483202925348935608e+00
5.300000000000000711e+00 4.555051471957863640e+00
5.500000000000000000e+00 4.900367428136294556e+00
5.700000000000001066e+00 5.174117413454734304e+00
5.900000000000000355e+00 5.384660987206321359e+00
6.099999999999999645e+00 5.709336370702901675e+00
6.300000000000000711e+00 6.082715442424440511e+00
6.500000000000000000e+00 6.317737963454534977e+00
6.700000000000001066e+00 6.607419759176111462e+00
6.900000000000000355e+00 6.889908209407016315e+00
7.099999999999999645e+00 7.301343020550887353e+00
7.300000000000000711e+00 7.646314486939299826e+00
7.500000000000000000e+00 7.890873785607903201e+00
7.700000000000001066e+00 8.097246251025858044e+00
7.900000000000000355e+00 8.369715605204946840e+00
8.100000000000001421e+00 8.745809590959083835e+00
8.300000000000000711e+00 8.920132460504246907e+00
8.500000000000000000e+00 9.085175174808526322e+00
8.699999999999999289e+00 9.295250412594766587e+00
8.900000000000000355e+00 9.529743632569509515e+00
9.100000000000001421e+00 9.527404687401213934e+00
9.300000000000000711e+00 9.594469841238803198e+00
9.500000000000000000e+00 9.745206376936817350e+00
9.700000000000001066e+00 9.721927167381444690e+00
9.900000000000000355e+00 9.908818919860356900e+00
1.010000000000000142e+01 9.865241269707201610e+00
1.030000000000000071e+01 9.956852069940312688e+00
1.050000000000000000e+01 9.955161698871823006e+00
1.070000000000000107e+01 9.846117129500225218e+00
1.090000000000000036e+01 9.786035884423110787e+00
1.110000000000000142e+01 9.963757117613326386e+00
1.130000000000000071e+01 9.816496512337664626e+00
1.150000000000000000e+01 9.841462746305291276e+00
1.170000000000000107e+01 9.836922890439128153e+00
1.190000000000000036e+01 9.725098164111567911e+00
1.210000000000000142e+01 9.833520855450890608e+00
1.230000000000000071e+01 9.778758122668106623e+00
1.250000000000000000e+01 9.739659358975162107e+00
1.270000000000000107e+01 9.575977276675997629e+00
1.290000000000000036e+01 9.712982739227403073e+00
1.310000000000000142e+01 9.600084111127923592e+00
1.330000000000000071e+01 9.533297572682663201e+00
1.350000000000000000e+01 9.461228007703569531e+00
1.370000000000000107e+01 9.398095587222631053e+00
1.390000000000000036e+01 9.358865521723028991e+00
1.410000000000000142e+01 9.227898369741874163e+00
1.430000000000000071e+01 9.261290936746121361e+00
1.450000000000000000e+01 9.081608954904590192e+00
1.470000000000000107e+01 9.008982763564794993e+00
1.490000000000000036e+01 8.984508174325181784e+00
1.510000000000000142e+01 8.878271231720114898e+00
1.530000000000000071e+01 8.769707387038517155e+00
1.550000000000000000e+01 8.679435154160140442e+00
1.570000000000000107e+01 8.575939214776690633e+00
1.590000000000000036e+01 8.539391205049099653e+00
1.610000000000000142e+01 8.375827927829204711e+00
1.630000000000000071e+01 8.272987041806992181e+00
1.650000000000000000e+01 8.163365053817377870e+00
1.670000000000000284e+01 8.099341375483730232e+00
1.689999999999999858e+01 7.985311285063991349e+00
1.710000000000000142e+01 7.870970908832755519e+00
1.730000000000000071e+01 7.749655161912651025e+00
1.750000000000000000e+01 7.694927142596899472e+00
1.770000000000000284e+01 7.537343457824174919e+00
1.789999999999999858e+01 7.416497733768574463e+00
1.810000000000000142e+01 7.224945323362834237e+00
1.830000000000000071e+01 7.169998212082454359e+00
1.850000000000000000e+01 7.049922064655390841e+00
1.870000000000000284e+01 6.856599182731621056e+00
1.889999999999999858e+01 6.770782789363773091e+00
1.910000000000000142e+01 6.610324553738032627e+00
1.930000000000000426e+01 6.478924338285909634e+00
1.950000000000000000e+01 6.384376463027284565e+00
1.970000000000000284e+01 6.212520368082468991e+00
1.989999999999999858e+01 6.070397587918282767e+00
2.010000000000000142e+01 5.869243407458155204e+00
2.030000000000000426e+01 5.769534618139156024e+00
2.050000000000000000e+01 5.698390595490558042e+00
2.070000000000000284e+01 5.518569021857419266e+00
2.089999999999999858e+01 5.340857663324361404e+00
2.110000000000000142e+01 5.229489089220337839e+00
2.130000000000000426e+01 5.062302886864488372e+00
2.150000000000000000e+01 4.975813658266756256e+00
2.170000000000000284e+01 4.817523823981074038e+00
2.189999999999999858e+01 4.661742921302497678e+00
2.210000000000000142e+01 4.534605109264673750e+00
2.230000000000000426e+01 4.393941846114141292e+00
2.250000000000000000e+01 4.288289152323642384e+00
2.270000000000000284e+01 4.197632277996136807e+00
2.289999999999999858e+01 4.022161411958550481e+00
2.310000000000000142e+01 3.912006470791628221e+00
2.330000000000000426e+01 3.787561731003254550e+00
2.350000000000000000e+01 3.681386855116900225e+00
2.370000000000000284e+01 3.592982394200309404e+00
2.389999999999999858e+01 3.450114776030797525e+00
2.410000000000000142e+01 3.354384952876498627e+00
2.430000000000000426e+01 3.268617803728137261e+00
2.450000000000000000e+01 3.162225550232554916e+00
2.470000000000000284e+01 3.074104682079000561e+00
2.489999999999999858e+01 2.984322488645441140e+00
2.510000000000000142e+01 2.878074916632935576e+00
2.530000000000000426e+01 2.805910620313374348e+00
2.550000000000000000e+01 2.736029327922889109e+00
2.570000000000000284e+01 2.661142875183935885e+00
2.589999999999999858e+01 2.571077308304178910e+00
2.610000000000000142e+01 2.506543202160077310e+00
2.630000000000000426e+01 2.445642411240667169e+00
2.650000000000000000e+01 2.354512136683327483e+00
2.670000000000000284e+01 2.289695604804880880e+00
2.689999999999999858e+01 2.236837472923640213e+00
2.710000000000000142e+01 2.159522924127087684e+00
2.730000000000000426e+01 2.126053417549639946e+00
2.750000000000000000e+01 2.060315424897306791e+00
2.770000000000000284e+01 2.017236181606114176e+00
2.789999999999999858e+01 1.916672760049214164e+00
2.810000000000000142e+01 1.912817894724942125e+00
2.830000000000000426e+01 1.846487983694849344e+00
2.850000000000000000e+01 1.775453904015364737e+00
2.870000000000000284e+01 1.723855270596605482e+00
2.889999999999999858e+01 1.691701368381852477e+00
2.910000000000000142e+01 1.650047754619105689e+00
2.930000000000000426e+01 1.610045043124446629e+00
2.950000000000000000e+01 1.544569297690448151e+00
2.970000000000000284e+01 1.517876581764685984e+00
2.989999999999999858e+01 1.467816346411797923e+00
3.010000000000000142e+01 1.440744391820460102e+00
3.030000000000000426e+01 1.399286014563183800e+00
3.050000000000000000e+01 1.345837016947482256e+00
3.070000000000000284e+01 1.325986870438237375e+00
3.089999999999999858e+01 1.289973085034180844e+00
3.110000000000000142e+01 1.254944254896514622e+00
