r,block_22,block_23,block_24,block_25,mean_last4
1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+00,2.003918227435528242e-03,1.336300204709824297e-03,6.679431040779919369e-04,2.003811154773922718e-03,1.502993172749316798e-03
1.700000000000000178e+00,6.502730039105307502e-02,7.389062744844787645e-02,6.398402444455864035e-02,7.230649437295580406e-02,6.880211166425384550e-02
1.899999999999999911e+00,1.524604649936005529e-01,1.429175534435691008e-01,1.270447501833952830e-01,1.262105262023472396e-01,1.371583237057280580e-01
2.100000000000000089e+00,1.122052944246150069e-01,1.009774644114866948e-01,1.104951438274758141e-01,1.087889860674892684e-01,1.081167221827667030e-01
2.300000000000000266e+00,8.416793065426934894e-02,9.186979757493089760e-02,8.814493506963722025e-02,9.468386260051382675e-02,8.971663147483781298e-02
2.500000000000000000e+00,1.855782097488432592e-01,1.824975787033457364e-01,1.824410394852859496e-01,1.809952750802479027e-01,1.828780257544307397e-01
2.700000000000000178e+00,4.234825071638704808e-01,4.341228947489069179e-01,4.106690042641121252e-01,4.335717385218899045e-01,4.254615361746948432e-01
2.900000000000000355e+00,5.379594171013578618e-01,5.194914695182835107e-01,4.998310341397324552e-01,5.237981412250876101e-01,5.202700154961154011e-01
3.100000000000000089e+00,5.425170851654335102e-01,5.432875827415989400e-01,5.147812490003128572e-01,5.485940242207125728e-01,5.372949852820144701e-01
3.300000000000000266e+00,6.058888866644267512e-01,6.169683324579969819e-01,5.945323144274717864e-01,6.184295900292964276e-01,6.089547808947979313e-01
3.500000000000000000e+00,7.033658488139273857e-01,7.052727837762858831e-01,6.745920088833304851e-01,6.723749445586818529e-01,6.889013965080564850e-01
3.700000000000000178e+00,7.223913826125809567e-01,7.317089380409518284e-01,6.953203163691882294e-01,7.178463226741360614e-01,7.168167399242142412e-01
3.900000000000000355e+00,7.345100869299896473e-01,7.178813167217787949e-01,6.796686959927015215e-01,7.091442601238375776e-01,7.103010899420769686e-01
4.099999999999999645e+00,7.164455273682640568e-01,7.253217090512600329e-01,6.825758782652672219e-01,7.098724809128645896e-01,7.085538988994138920e-01
4.300000000000000711e+00,7.382851811440600542e-01,7.267579941377561026e-01,7.041516881511101777e-01,7.257124026299252018e-01,7.237268165157129118e-01
4.500000000000000000e+00,7.749024699171546127e-01,7.743648552620536751e-01,7.461830307175529864e-01,7.642343146263899101e-01,7.649211676307878793e-01
4.700000000000001066e+00,8.341540408903189707e-01,8.246306950349158171e-01,7.981472648441992890e-01,8.057017894084453902e-01,8.156584475444698112e-01
4.900000000000000355e+00,8.536443152630267539e-01,8.391998674533431846e-01,8.097321079997952253e-01,8.231376587755284691e-01,8.314284873729234082e-01
5.099999999999999645e+00,8.606289546923034939e-01,8.620728784743283413e-01,8.426545613310236771e-01,8.523092462745115450e-01,8.544164101930417088e-01
5.300000000000000711e+00,8.978485713900663523e-01,8.819559153407013907e-01,8.498591678871243449e-01,8.793174133330859954e-01,8.772452669877445208e-01
5.500000000000000000e+00,9.150893910342970949e-01,9.164769661346856555e-01,8.797264022434907460e-01,9.071800929681379522e-01,9.046182130951528899e-01
5.700000000000001066e+00,9.231566945590310436e-01,9.212704201829036155e-01,8.922664646456230919e-01,9.141213268457527574e-01,9.127037265583276548e-01
5.900000000000000355e+00,9.333206292716720309e-01,9.252650606435448566e-01,8.913428276810214657e-01,9.194362005654979075e-01,9.173411795404340374e-01
6.099999999999999645e+00,9.497749099501174852e-01,9.264807277405027186e-01,8.970327509148816603e-01,9.097242813127593974e-01,9.207531674795653709e-01
6.300000000000000711e+00,9.417015551408154383e-01,9.545822582426147784e-01,9.101876921997614778e-01,9.395657581569996086e-01,9.365093159350479368e-01
