# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 7.128190949556373335e-02
1.899999999999999911e+00 1.629018281835348247e-01
2.100000000000000089e+00 1.112008477194778855e-01
2.300000000000000266e+00 1.129063821937030115e-01
2.500000000000000000e+00 2.217202089560784128e-01
2.700000000000000178e+00 5.007511575903538237e-01
2.900000000000000355e+00 6.074757013433004227e-01
3.100000000000000089e+00 6.373494806218740205e-01
3.300000000000000266e+00 7.009316652221080357e-01
3.500000000000000000e+00 8.227791529393148062e-01
3.700000000000000178e+00 8.580665170611997405e-01
3.900000000000000355e+00 8.346760156037574818e-01
4.099999999999999645e+00 8.368144710407205977e-01
4.300000000000000711e+00 8.421171764916056679e-01
4.500000000000000000e+00 9.141774816328864794e-01
4.700000000000001066e+00 9.681875585940401541e-01
4.900000000000000355e+00 9.819281867295830413e-01
5.099999999999999645e+00 1.013842598488715829e+00
5.300000000000000711e+00 1.034591134795360023e+00
5.500000000000000000e+00 1.063429834227248794e+00
5.700000000000001066e+00 1.065730615347455279e+00
5.900000000000000355e+00 1.088415794644013168e+00
6.099999999999999645e+00 1.086263767346941078e+00
6.300000000000000711e+00 1.100884634174208010e+00
6.500000000000000000e+00 1.120121094915692117e+00
6.700000000000001066e+00 1.132249478696284450e+00
6.900000000000000355e+00 1.148888045301764693e+00
7.099999999999999645e+00 1.174094984155517718e+00
7.300000000000000711e+00 1.186887030431029277e+00
7.500000000000000000e+00 1.207501510064486583e+00
7.700000000000001066e+00 1.216834760377244695e+00
7.900000000000000355e+00 1.217102338281196516e+00
8.100000000000001421e+00 1.222651534387364514e+00
8.300000000000000711e+00 1.232923708634667825e+00
8.500000000000000000e+00 1.238136512615026774e+00
8.699999999999999289e+00 1.233776188019434894e+00
8.900000000000000355e+00 1.247671586837036939e+00
9.100000000000001421e+00 1.246678423900197563e+00
9.300000000000000711e+00 1.244563552511632754e+00
9.500000000000000000e+00 1.265188653534423890e+00
9.700000000000001066e+00 1.261281243284458897e+00
9.900000000000000355e+00 1.260908249191933450e+00
1.010000000000000142e+01 1.266260349875184321e+00
1.030000000000000071e+01 1.271044626289204116e+00
1.050000000000000000e+01 1.272405362663771689e+00
1.070000000000000107e+01 1.271935692079902092e+00
1.090000000000000036e+01 1.270085933239461173e+00
1.110000000000000142e+01 1.278489755735206401e+00
1.130000000000000071e+01 1.283515791564236563e+00
1.150000000000000000e+01 1.284234686143551629e+00
1.170000000000000107e+01 1.283604913684197157e+00
1.190000000000000036e+01 1.284704754212529831e+00
1.210000000000000142e+01 1.296197347349888007e+00
1.230000000000000071e+01 1.286557627996955500e+00
1.250000000000000000e+01 1.293109983692481313e+00
1.270000000000000107e+01 1.293164013036453897e+00
1.290000000000000036e+01 1.295668808785962689e+00
1.310000000000000142e+01 1.297024236812543307e+00
1.330000000000000071e+01 1.299738239280424423e+00
1.350000000000000000e+01 1.302061939477807462e+00
1.370000000000000107e+01 1.300135799333457909e+00
1.390000000000000036e+01 1.306475893053635762e+00
1.410000000000000142e+01 1.299063230872096408e+00
1.430000000000000071e+01 1.303528733693475550e+00
1.450000000000000000e+01 1.305379356309525285e+00
1.470000000000000107e+01 1.299102630882794651e+00
1.490000000000000036e+01 1.303342834317225751e+00
1.510000000000000142e+01 1.304018866773636764e+00
1.530000000000000071e+01 1.305532696675172133e+00
1.550000000000000000e+01 1.302750042483515669e+00
1.570000000000000107e+01 1.309132614742747114e+00
1.590000000000000036e+01 1.309007810308508102e+00
1.610000000000000142e+01 1.305105088181341966e+00
1.630000000000000071e+01 1.309078308245849254e+00
1.650000000000000000e+01 1.310386417798529823e+00
1.670000000000000284e+01 1.308055820480957587e+00
1.689999999999999858e+01 1.307344269690166039e+00
1.710000000000000142e+01 1.310498627521390791e+00
1.730000000000000071e+01 1.310150629605639772e+00
1.750000000000000000e+01 1.312715497897631645e+00
1.770000000000000284e+01 1.308780875196038584e+00
1.789999999999999858e+01 1.308099675620744584e+00
1.810000000000000142e+01 1.311733123607553342e+00
1.830000000000000071e+01 1.313448660286393066e+00
1.850000000000000000e+01 1.312593324334175193e+00
1.870000000000000284e+01 1.312894543423884341e+00
1.889999999999999858e+01 1.311317168372363007e+00
1.910000000000000142e+01 1.313524484575097961e+00
1.930000000000000426e+01 1.310618513109593319e+00
1.950000000000000000e+01 1.313113220646776158e+00
1.970000000000000284e+01 1.312533298866909393e+00
1.989999999999999858e+01 1.311198113161731849e+00
2.010000000000000142e+01 1.314648960102077657e+00
2.030000000000000426e+01 1.308401839688782431e+00
2.050000000000000000e+01 1.308663025085788911e+00
2.070000000000000284e+01 1.310229783420706173e+00
2.089999999999999858e+01 1.311111190046003294e+00
2.110000000000000142e+01 1.310885330227262502e+00
2.130000000000000426e+01 1.310031911350221456e+00
2.150000000000000000e+01 1.308771545719976004e+00
2.170000000000000284e+01 1.310595749906707130e+00
2.189999999999999858e+01 1.310066836464911511e+00
2.210000000000000142e+01 1.310177605827760106e+00
2.230000000000000426e+01 1.307888011790014016e+00
2.250000000000000000e+01 1.312561597290853310e+00
2.270000000000000284e+01 1.308100792982048954e+00
2.289999999999999858e+01 1.307906658647713272e+00
2.310000000000000142e+01 1.311021367534253690e+00
2.330000000000000426e+01 1.306227875240463909e+00
2.350000000000000000e+01 1.306973357026536497e+00
2.370000000000000284e+01 1.307620305771846292e+00
2.389999999999999858e+01 1.308547572235528200e+00
2.410000000000000142e+01 1.307623395310131498e+00
2.430000000000000426e+01 1.304928252954853374e+00
2.450000000000000000e+01 1.306525398108075331e+00
2.470000000000000284e+01 1.307263291073230471e+00
2.489999999999999858e+01 1.301964694520716392e+00
2.510000000000000142e+01 1.302955086701406806e+00
2.530000000000000426e+01 1.307222929232578323e+00
2.550000000000000000e+01 1.301450422534247364e+00
2.570000000000000284e+01 1.300849639122966250e+00
2.589999999999999858e+01 1.301000823224442993e+00
2.610000000000000142e+01 1.300879707372724292e+00
2.630000000000000426e+01 1.298781417084496237e+00
2.650000000000000000e+01 1.301108375836642184e+00
2.670000000000000284e+01 1.294585376456434123e+00
2.689999999999999858e+01 1.295674122428694730e+00
2.710000000000000142e+01 1.294513355031597479e+00
2.730000000000000426e+01 1.293433230867970130e+00
2.750000000000000000e+01 1.292904381411543735e+00
2.770000000000000284e+01 1.296456504718113356e+00
2.789999999999999858e+01 1.292881639550638617e+00
2.810000000000000142e+01 1.290824935454293332e+00
2.830000000000000426e+01 1.290721430737298281e+00
2.850000000000000000e+01 1.290805054742564240e+00
2.870000000000000284e+01 1.285223234238964451e+00
2.889999999999999858e+01 1.283045914030205958e+00
2.910000000000000142e+01 1.289396893431209667e+00
2.930000000000000426e+01 1.284530826651177016e+00
2.950000000000000000e+01 1.284580172204330850e+00
2.970000000000000284e+01 1.283008142160424025e+00
2.989999999999999858e+01 1.280987575710731408e+00
3.010000000000000142e+01 1.279212976871216378e+00
3.030000000000000426e+01 1.280661099671386305e+00
3.050000000000000000e+01 1.273500940570448270e+00
3.070000000000000284e+01 1.276736431511000358e+00
3.089999999999999858e+01 1.272456551285467752e+00
3.110000000000000142e+01 1.273256389715083481e+00
