# r[Å]   g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 3.473198403318995212e-03
1.700000000000000178e+00 8.459064196705201599e-02
1.899999999999999911e+00 1.746537605678388505e-01
2.100000000000000089e+00 1.420272005140789384e-01
2.300000000000000266e+00 1.357545764741284189e-01
2.500000000000000000e+00 2.562236158019717824e-01
2.700000000000000178e+00 5.877509463552403890e-01
2.900000000000000355e+00 7.252354511828226213e-01
3.100000000000000089e+00 7.476454792189519694e-01
3.300000000000000266e+00 8.504443388478036825e-01
3.500000000000000000e+00 9.688584693110054991e-01
3.700000000000000178e+00 9.899055094826636481e-01
3.900000000000000355e+00 1.006562562397680827e+00
4.099999999999999645e+00 1.003702256858670872e+00
4.300000000000000711e+00 1.018244020565562513e+00
4.500000000000000000e+00 1.099327055530284758e+00
4.700000000000001066e+00 1.145441092187051035e+00
4.900000000000000355e+00 1.172133720846795457e+00
5.099999999999999645e+00 1.211356636728331049e+00
5.300000000000000711e+00 1.243510376728257372e+00
5.500000000000000000e+00 1.269210006100170096e+00
5.700000000000001066e+00 1.274816698492867495e+00
5.900000000000000355e+00 1.280417731125013114e+00
6.099999999999999645e+00 1.294007993952987823e+00
6.300000000000000711e+00 1.320437232276658213e+00
6.500000000000000000e+00 1.332525312682915297e+00
6.700000000000001066e+00 1.352756528416039661e+00
6.900000000000000355e+00 1.378404229899781175e+00
7.099999999999999645e+00 1.399522002210495941e+00
7.300000000000000711e+00 1.416848895659182039e+00
7.500000000000000000e+00 1.441251757707041392e+00
7.700000000000001066e+00 1.448197421859889866e+00
7.900000000000000355e+00 1.457389084878564889e+00
8.100000000000001421e+00 1.459168985639147875e+00
8.300000000000000711e+00 1.464529528708045980e+00
8.500000000000000000e+00 1.469134781960567127e+00
8.699999999999999289e+00 1.482780407440120296e+00
8.900000000000000355e+00 1.481352628091062718e+00
9.100000000000001421e+00 1.484785174894960091e+00
9.300000000000000711e+00 1.488554368996017452e+00
9.500000000000000000e+00 1.504954001154437560e+00
9.700000000000001066e+00 1.504738163822921360e+00
9.900000000000000355e+00 1.508828069367515345e+00
1.010000000000000142e+01 1.512644697716027054e+00
1.030000000000000071e+01 1.511180700898242080e+00
1.050000000000000000e+01 1.515408596282677101e+00
1.070000000000000107e+01 1.516235413443919766e+00
1.090000000000000036e+01 1.518365050928583981e+00
1.110000000000000142e+01 1.521523514921432563e+00
1.130000000000000071e+01 1.526517860591906528e+00
1.150000000000000000e+01 1.531958169654758173e+00
1.170000000000000107e+01 1.530721973432285221e+00
1.190000000000000036e+01 1.538138009174139009e+00
1.210000000000000142e+01 1.534157893196514300e+00
1.230000000000000071e+01 1.536618750276474765e+00
1.250000000000000000e+01 1.536794659201587976e+00
1.270000000000000107e+01 1.539695420526473679e+00
1.290000000000000036e+01 1.536052509674215694e+00
1.310000000000000142e+01 1.545714075921709840e+00
1.330000000000000071e+01 1.547648755007690946e+00
1.350000000000000000e+01 1.549083931961511729e+00
1.370000000000000107e+01 1.550970320439192474e+00
1.390000000000000036e+01 1.551831347999903743e+00
1.410000000000000142e+01 1.555236967843319107e+00
1.430000000000000071e+01 1.555880540541814128e+00
1.450000000000000000e+01 1.549745136198823037e+00
1.470000000000000107e+01 1.553861725611222377e+00
1.490000000000000036e+01 1.555117308210072435e+00
1.510000000000000142e+01 1.550638028136640756e+00
1.530000000000000071e+01 1.557901671817312428e+00
1.550000000000000000e+01 1.557062605753690043e+00
1.570000000000000107e+01 1.557876135432857190e+00
1.590000000000000036e+01 1.560022121887022495e+00
1.610000000000000142e+01 1.561359012031906524e+00
1.630000000000000071e+01 1.560307917412622425e+00
1.650000000000000000e+01 1.558903558830223579e+00
1.670000000000000284e+01 1.561006347188074406e+00
1.689999999999999858e+01 1.558184293626400096e+00
1.710000000000000142e+01 1.560528799075256101e+00
1.730000000000000071e+01 1.563763451724198061e+00
1.750000000000000000e+01 1.563618459015480244e+00
1.770000000000000284e+01 1.561590917198751871e+00
1.789999999999999858e+01 1.563561982065647671e+00
1.810000000000000142e+01 1.561857476973134595e+00
1.830000000000000071e+01 1.564841886774067214e+00
1.850000000000000000e+01 1.563961034741619072e+00
1.870000000000000284e+01 1.565687434666457545e+00
1.889999999999999858e+01 1.562306294116366789e+00
1.910000000000000142e+01 1.568684597498962496e+00
1.930000000000000426e+01 1.564765138617715268e+00
1.950000000000000000e+01 1.565843509484341256e+00
1.970000000000000284e+01 1.561354773098587057e+00
1.989999999999999858e+01 1.561456125813949214e+00
2.010000000000000142e+01 1.563054634141129995e+00
2.030000000000000426e+01 1.563166832243266136e+00
2.050000000000000000e+01 1.560077057626853225e+00
2.070000000000000284e+01 1.563967367163501487e+00
2.089999999999999858e+01 1.559281412418600743e+00
2.110000000000000142e+01 1.558582296924717836e+00
2.130000000000000426e+01 1.558410623176887944e+00
2.150000000000000000e+01 1.558395760316274803e+00
2.170000000000000284e+01 1.555888086246592250e+00
2.189999999999999858e+01 1.555236556565975370e+00
2.210000000000000142e+01 1.554104558619769927e+00
2.230000000000000426e+01 1.556265158613526323e+00
2.250000000000000000e+01 1.553720306803869633e+00
2.270000000000000284e+01 1.550096665586556011e+00
2.289999999999999858e+01 1.551706138963317105e+00
2.310000000000000142e+01 1.549633079407162217e+00
2.330000000000000426e+01 1.547531977432414552e+00
2.350000000000000000e+01 1.545961714372524831e+00
2.370000000000000284e+01 1.545987025485313859e+00
2.389999999999999858e+01 1.543987671824177399e+00
2.410000000000000142e+01 1.542093814003804075e+00
2.430000000000000426e+01 1.541956595107733419e+00
2.450000000000000000e+01 1.538485568607491194e+00
2.470000000000000284e+01 1.540066008685570198e+00
2.489999999999999858e+01 1.535766471437203906e+00
2.510000000000000142e+01 1.534768686928591253e+00
2.530000000000000426e+01 1.534619649489523008e+00
2.550000000000000000e+01 1.530877054217152811e+00
2.570000000000000284e+01 1.529496934468043579e+00
2.589999999999999858e+01 1.528711720533700191e+00
2.610000000000000142e+01 1.523843806177138438e+00
2.630000000000000426e+01 1.522012865907781176e+00
2.650000000000000000e+01 1.520744224331131766e+00
2.670000000000000284e+01 1.520613128780738066e+00
2.689999999999999858e+01 1.518487012571642758e+00
2.710000000000000142e+01 1.514868567187952264e+00
2.730000000000000426e+01 1.514921558195435836e+00
2.750000000000000000e+01 1.511935811989545408e+00
2.770000000000000284e+01 1.509842384444012309e+00
2.789999999999999858e+01 1.508242005643205541e+00
2.810000000000000142e+01 1.503720985067123594e+00
2.830000000000000426e+01 1.502907759709571023e+00
2.850000000000000000e+01 1.500191910010848950e+00
2.870000000000000284e+01 1.498524110415111465e+00
2.889999999999999858e+01 1.495693807181709634e+00
2.910000000000000142e+01 1.493920283088653100e+00
2.930000000000000426e+01 1.491198707704752602e+00
2.950000000000000000e+01 1.487341541493247821e+00
2.970000000000000284e+01 1.485366695921864766e+00
2.989999999999999858e+01 1.481936230604909754e+00
3.010000000000000142e+01 1.479516193364720955e+00
3.030000000000000426e+01 1.476156561461365646e+00
3.050000000000000000e+01 1.473809158308609035e+00
3.070000000000000284e+01 1.468580175802130627e+00
3.089999999999999858e+01 1.466501221319494119e+00
3.110000000000000142e+01 1.462798315548882622e+00
