# r[Å]   g_mean   g_std
1.000000000000000056e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.500000000000000000e+00 2.262839672761428160e-03 6.423043823315626854e-04
1.700000000000000178e+00 8.659963984706768592e-02 4.236836563199836495e-03
1.899999999999999911e+00 1.769198156451427806e-01 6.570947750083144627e-03
2.100000000000000089e+00 1.405777575381881583e-01 3.866393675669992265e-03
2.300000000000000266e+00 1.342328350840878148e-01 3.584754987550500902e-03
2.500000000000000000e+00 2.616116986022239410e-01 6.161782398525515736e-03
2.700000000000000178e+00 5.897398579124758511e-01 1.068618880038843533e-02
2.900000000000000355e+00 7.253124409332151190e-01 1.182422311575672541e-02
3.100000000000000089e+00 7.527724641777577830e-01 8.848952623300996093e-03
3.300000000000000266e+00 8.547196960137410926e-01 6.466287622866900668e-03
3.500000000000000000e+00 9.658490927711783636e-01 6.271812423273836860e-03
3.700000000000000178e+00 1.000055384147728210e+00 9.495220988072082882e-03
3.900000000000000355e+00 9.984427680979933717e-01 6.674456618286780767e-03
4.099999999999999645e+00 9.970330817604980966e-01 5.422821001552459962e-03
4.300000000000000711e+00 1.017824124849358691e+00 6.020150381528607472e-03
4.500000000000000000e+00 1.091357675567467878e+00 7.884173796809862411e-03
4.700000000000001066e+00 1.144609514738455180e+00 4.586493505061600695e-03
4.900000000000000355e+00 1.171350458642229642e+00 4.548089803225274438e-03
5.099999999999999645e+00 1.205989663032635884e+00 4.609915252163122000e-03
5.300000000000000711e+00 1.240618490289333575e+00 5.303276545004052302e-03
5.500000000000000000e+00 1.268838381777812163e+00 5.318213730714544882e-03
5.700000000000001066e+00 1.278015446286333345e+00 3.309817786347599503e-03
5.900000000000000355e+00 1.278693238425348433e+00 6.247534450014666924e-03
6.099999999999999645e+00 1.292099147120454150e+00 5.733770836222080308e-03
6.300000000000000711e+00 1.309773235511087153e+00 7.672516324714174704e-03
6.500000000000000000e+00 1.332651052449748352e+00 2.812241402503046998e-03
6.700000000000001066e+00 1.352463483168510949e+00 2.881014819517403475e-03
6.900000000000000355e+00 1.379825409911876077e+00 4.052887554803422630e-03
