# r[Å] g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 2.526454917674038781e-03
1.700000000000000178e+00 9.075590732780576542e-02
1.899999999999999911e+00 1.697642525354791654e-01
2.100000000000000089e+00 1.423773746222596059e-01
2.300000000000000266e+00 1.352432954576302526e-01
2.500000000000000000e+00 2.719777200953419904e-01
2.700000000000000178e+00 6.026963282618503781e-01
2.900000000000000355e+00 7.238543582293586187e-01
3.100000000000000089e+00 7.534170644421968044e-01
3.300000000000000266e+00 8.739968509886479886e-01
3.500000000000000000e+00 9.794428603823157609e-01
3.700000000000000178e+00 1.010210194431412800e+00
3.900000000000000355e+00 9.948777026552980685e-01
4.099999999999999645e+00 1.001697050226403318e+00
4.300000000000000711e+00 1.013709525176064385e+00
4.500000000000000000e+00 1.086576242397364611e+00
4.700000000000001066e+00 1.164345985245230475e+00
4.900000000000000355e+00 1.177785306629533846e+00
5.099999999999999645e+00 1.205957478333896438e+00
5.300000000000000711e+00 1.257355279745618448e+00
5.500000000000000000e+00 1.282394527654108218e+00
5.700000000000001066e+00 1.292147566424337812e+00
5.900000000000000355e+00 1.293524718788827466e+00
6.099999999999999645e+00 1.307282799343630009e+00
6.300000000000000711e+00 1.321752400865539467e+00
6.500000000000000000e+00 1.346073196231912794e+00
6.700000000000001066e+00 1.374451222459353472e+00
6.900000000000000355e+00 1.392692089482003848e+00
7.099999999999999645e+00 1.419443859439886824e+00
7.300000000000000711e+00 1.445099344344196846e+00
7.500000000000000000e+00 1.456902774147234680e+00
7.700000000000001066e+00 1.473119149349305435e+00
7.900000000000000355e+00 1.473179519135786597e+00
8.100000000000001421e+00 1.485548047252498449e+00
8.300000000000000711e+00 1.488551714569264828e+00
8.500000000000000000e+00 1.502641639521807182e+00
8.699999999999999289e+00 1.499625224236727172e+00
8.900000000000000355e+00 1.512598786654775207e+00
9.100000000000001421e+00 1.528495259302353748e+00
9.300000000000000711e+00 1.529677318005306930e+00
9.500000000000000000e+00 1.535587622192387647e+00
9.700000000000001066e+00 1.540350242538153447e+00
9.900000000000000355e+00 1.541605345891452483e+00
1.010000000000000142e+01 1.546492884156380310e+00
1.030000000000000071e+01 1.548440191208330319e+00
1.050000000000000000e+01 1.560536229566934940e+00
1.070000000000000107e+01 1.562325834465068120e+00
1.090000000000000036e+01 1.563449639298125637e+00
1.110000000000000142e+01 1.568757597033193951e+00
1.130000000000000071e+01 1.573861613529299763e+00
1.150000000000000000e+01 1.574016595340667513e+00
1.170000000000000107e+01 1.579021865985141382e+00
1.190000000000000036e+01 1.583583179340527280e+00
1.210000000000000142e+01 1.589145492463556408e+00
1.230000000000000071e+01 1.593177667325240687e+00
1.250000000000000000e+01 1.590907384310979555e+00
1.270000000000000107e+01 1.594959662011748547e+00
1.290000000000000036e+01 1.600195761964719354e+00
1.310000000000000142e+01 1.602455287889372970e+00
1.330000000000000071e+01 1.606173409150925435e+00
1.350000000000000000e+01 1.608586790159690860e+00
1.370000000000000107e+01 1.614911123036884444e+00
1.390000000000000036e+01 1.611840120975708501e+00
1.410000000000000142e+01 1.613793728633644342e+00
1.430000000000000071e+01 1.616219248587151602e+00
1.450000000000000000e+01 1.622236858849639196e+00
1.470000000000000107e+01 1.623000438097146114e+00
1.490000000000000036e+01 1.627158180222873618e+00
1.510000000000000142e+01 1.623418142749077253e+00
1.530000000000000071e+01 1.627703368572553044e+00
1.550000000000000000e+01 1.627120059292719745e+00
1.570000000000000107e+01 1.628786400693068792e+00
1.590000000000000036e+01 1.629057957697966241e+00
1.610000000000000142e+01 1.635015049882031501e+00
1.630000000000000071e+01 1.630262437977505474e+00
1.650000000000000000e+01 1.635530685329049216e+00
1.670000000000000284e+01 1.636868001313696031e+00
1.689999999999999858e+01 1.637362868109128344e+00
1.710000000000000142e+01 1.639362981919796791e+00
1.730000000000000071e+01 1.641637129011703555e+00
1.750000000000000000e+01 1.641636953862501747e+00
1.770000000000000284e+01 1.640931393804837768e+00
1.789999999999999858e+01 1.645552900477943226e+00
1.810000000000000142e+01 1.647126928590046058e+00
1.830000000000000071e+01 1.646392883761110593e+00
1.850000000000000000e+01 1.646006097192588724e+00
1.870000000000000284e+01 1.645737340369729962e+00
1.889999999999999858e+01 1.647545658803440061e+00
1.910000000000000142e+01 1.647339674492101613e+00
1.930000000000000426e+01 1.645300126463461243e+00
1.950000000000000000e+01 1.646502436613297204e+00
1.970000000000000284e+01 1.650848578904086983e+00
1.989999999999999858e+01 1.643406982378195602e+00
2.010000000000000142e+01 1.645363593387513257e+00
2.030000000000000426e+01 1.646416750994172062e+00
2.050000000000000000e+01 1.646998958687409642e+00
2.070000000000000284e+01 1.646223386216403517e+00
2.089999999999999858e+01 1.647544449328204541e+00
2.110000000000000142e+01 1.644205838250990981e+00
2.130000000000000426e+01 1.643973410611628827e+00
2.150000000000000000e+01 1.645410907148617818e+00
2.170000000000000284e+01 1.643306551181023867e+00
2.189999999999999858e+01 1.641461248647729798e+00
2.210000000000000142e+01 1.642423436766503819e+00
2.230000000000000426e+01 1.640437018803415192e+00
2.250000000000000000e+01 1.639903179358570773e+00
2.270000000000000284e+01 1.635789998730331485e+00
2.289999999999999858e+01 1.634712476541952952e+00
2.310000000000000142e+01 1.636214059905916285e+00
2.330000000000000426e+01 1.635062689994734031e+00
2.350000000000000000e+01 1.632561341644505060e+00
2.370000000000000284e+01 1.633169701353090142e+00
2.389999999999999858e+01 1.630590293636200450e+00
2.410000000000000142e+01 1.627753584166143463e+00
2.430000000000000426e+01 1.626549654463279149e+00
2.450000000000000000e+01 1.625162006214416754e+00
2.470000000000000284e+01 1.620920761791337927e+00
2.489999999999999858e+01 1.619679205592339022e+00
2.510000000000000142e+01 1.620681650414611541e+00
2.530000000000000426e+01 1.614969752952751136e+00
2.550000000000000000e+01 1.614388160274429884e+00
2.570000000000000284e+01 1.610292273341205949e+00
2.589999999999999858e+01 1.609453458923274516e+00
2.610000000000000142e+01 1.605822850544530667e+00
2.630000000000000426e+01 1.604221048736308886e+00
2.650000000000000000e+01 1.600870243534516124e+00
2.670000000000000284e+01 1.598600356481220564e+00
2.689999999999999858e+01 1.594779039437009160e+00
2.710000000000000142e+01 1.592187601199135383e+00
2.730000000000000426e+01 1.589657229852727616e+00
2.750000000000000000e+01 1.585537498415156454e+00
2.770000000000000284e+01 1.584683390386065538e+00
2.789999999999999858e+01 1.581162997374276458e+00
2.810000000000000142e+01 1.578163208323986044e+00
2.830000000000000426e+01 1.573763403031996244e+00
2.850000000000000000e+01 1.574169952259865779e+00
2.870000000000000284e+01 1.566954001674764507e+00
2.889999999999999858e+01 1.565774322252851514e+00
2.910000000000000142e+01 1.561478045566469186e+00
2.930000000000000426e+01 1.556143144843858073e+00
2.950000000000000000e+01 1.552839269321827587e+00
2.970000000000000284e+01 1.548172006158845093e+00
2.989999999999999858e+01 1.546526916711948862e+00
3.010000000000000142e+01 1.542437099103870501e+00
3.030000000000000426e+01 1.538733277443349978e+00
3.050000000000000000e+01 1.535317223035483902e+00
3.070000000000000284e+01 1.530783357545450141e+00
3.089999999999999858e+01 1.525945699438540526e+00
3.110000000000000142e+01 1.522876395886702872e+00
